pixel_u,pixel_v,planar_proj_x,planar_proj_y,planar_proj_z (ref),slope_proj_x,slope_proj_y,slope_proj_z (true),error_m
715,702,300230.106,3995495.789,900.000,300212.510,3995462.917,802.411,37.285
715,702,300574.601,3995692.096,900.000,300561.933,3995668.430,829.731,26.844
715,702,300971.165,3995985.676,900.000,300996.800,3996033.568,1042.157,54.321
715,702,301385.075,3996311.663,900.000,301426.431,3996388.923,1129.396,87.632
715,702,301746.147,3996538.938,900.000,301778.643,3996599.647,1080.164,68.858
715,702,302121.450,3996792.800,900.000,302189.958,3996920.786,1279.925,145.168
715,702,302547.750,3997141.932,900.000,302650.377,3997333.659,1469.203,217.467
715,702,303005.544,3997549.902,900.000,303076.955,3997683.312,1296.192,151.320
715,702,303460.041,3997951.713,900.000,303474.245,3997978.248,978.814,30.097
715,702,303876.620,3998282.686,900.000,303844.983,3998223.581,724.613,67.040
715,702,304260.376,3998552.339,900.000,304213.563,3998464.883,640.329,99.197
