epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0835,1.77724,1.95149,1.64708,0.53523,0.65449,0.5625,0.24913,1.74358,3.43451,1.61352,0.000660969,0.000660969,0.000660969
2,80.1666,1.78715,1.59658,1.63306,0.61202,0.59801,0.60161,0.25701,1.89514,3.93751,1.80762,0.00131449,0.00131449,0.00131449
3,119.133,1.78731,1.60002,1.6131,0.61976,0.62126,0.64078,0.3079,1.79844,1.83926,1.64566,0.00195481,0.00195481,0.00195481
4,158.234,1.75064,1.51339,1.57613,0.54561,0.52492,0.52377,0.27187,1.7053,1.99409,1.60444,0.0019406,0.0019406,0.0019406
5,197.041,1.73951,1.48989,1.56206,0.58354,0.59801,0.61689,0.31169,1.72595,1.59361,1.56705,0.0019208,0.0019208,0.0019208
6,236.053,1.68015,1.41275,1.51709,0.70172,0.66433,0.73136,0.36932,1.67525,1.66318,1.52771,0.001901,0.001901,0.001901
7,275.191,1.65683,1.40582,1.50423,0.64179,0.58804,0.62215,0.31619,1.68495,1.56812,1.60029,0.0018812,0.0018812,0.0018812
8,314.213,1.64081,1.37342,1.48251,0.59869,0.65781,0.60516,0.31752,1.61509,1.40812,1.52342,0.0018614,0.0018614,0.0018614
9,353.352,1.62703,1.31274,1.46775,0.72533,0.66777,0.75271,0.4074,1.58469,1.29824,1.45731,0.0018416,0.0018416,0.0018416
10,392.718,1.61582,1.30101,1.45756,0.69313,0.62458,0.66735,0.37294,1.55574,1.38468,1.4785,0.0018218,0.0018218,0.0018218
11,431.976,1.60415,1.27366,1.46142,0.7577,0.58472,0.68261,0.36593,1.6437,1.42925,1.51354,0.001802,0.001802,0.001802
12,471.115,1.57659,1.2523,1.44998,0.71806,0.67442,0.76282,0.43691,1.51508,1.16965,1.43642,0.0017822,0.0017822,0.0017822
13,510.314,1.5757,1.24644,1.46224,0.65981,0.66369,0.69118,0.38683,1.52763,1.3164,1.43408,0.0017624,0.0017624,0.0017624
14,549.584,1.56001,1.21554,1.43609,0.67415,0.63923,0.70452,0.39266,1.58834,1.30891,1.45422,0.0017426,0.0017426,0.0017426
15,588.692,1.58295,1.2506,1.46059,0.63663,0.58804,0.63192,0.36488,1.52322,1.38017,1.42255,0.0017228,0.0017228,0.0017228
16,628.175,1.55755,1.19859,1.4223,0.67781,0.66398,0.71545,0.41299,1.53152,1.27877,1.43002,0.001703,0.001703,0.001703
17,667.415,1.5143,1.16217,1.4067,0.8326,0.58472,0.7569,0.44099,1.4463,1.18496,1.39552,0.0016832,0.0016832,0.0016832
18,706.891,1.51405,1.16801,1.41719,0.71837,0.62458,0.72083,0.41774,1.5089,1.22929,1.4276,0.0016634,0.0016634,0.0016634
19,746.03,1.52579,1.12765,1.4096,0.59882,0.48837,0.54555,0.2976,1.61122,1.50309,1.51867,0.0016436,0.0016436,0.0016436
20,785.399,1.50331,1.14181,1.39764,0.75237,0.69767,0.76687,0.44829,1.43993,1.17261,1.39173,0.0016238,0.0016238,0.0016238
21,824.863,1.46376,1.08627,1.37075,0.75007,0.66445,0.75969,0.45852,1.4274,1.11798,1.38384,0.001604,0.001604,0.001604
22,864.338,1.46481,1.09047,1.38395,0.64438,0.61462,0.69052,0.4011,1.50016,1.26551,1.43759,0.0015842,0.0015842,0.0015842
23,903.49,1.45791,1.06471,1.36821,0.70436,0.6711,0.72064,0.42368,1.4669,1.1928,1.3949,0.0015644,0.0015644,0.0015644
24,942.712,1.4394,1.04901,1.35209,0.71765,0.75083,0.79617,0.46155,1.43614,1.08763,1.39311,0.0015446,0.0015446,0.0015446
25,982.351,1.4562,1.04657,1.37555,0.75468,0.6412,0.7354,0.42943,1.46766,1.15577,1.40387,0.0015248,0.0015248,0.0015248
26,1021.62,1.43866,1.02593,1.35356,0.78119,0.62864,0.73683,0.42313,1.51486,1.17217,1.43631,0.001505,0.001505,0.001505
27,1061.15,1.41262,1.01297,1.34425,0.7753,0.64452,0.74882,0.45082,1.44923,1.15414,1.41016,0.0014852,0.0014852,0.0014852
28,1100.42,1.41521,0.99378,1.34289,0.75798,0.62791,0.7175,0.41331,1.47146,1.24003,1.40396,0.0014654,0.0014654,0.0014654
29,1139.71,1.39894,0.98731,1.33238,0.77094,0.7608,0.7908,0.46173,1.45225,1.08402,1.39606,0.0014456,0.0014456,0.0014456
30,1179.03,1.40357,0.95896,1.31796,0.71139,0.69767,0.76107,0.45378,1.47189,1.05314,1.41787,0.0014258,0.0014258,0.0014258
31,1218.31,1.38115,0.95938,1.31178,0.71723,0.73313,0.77415,0.46962,1.4331,1.09019,1.38213,0.001406,0.001406,0.001406
