epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8966,1.82784,2.76147,1.72537,0.09983,0.29392,0.05929,0.02067,0.879,54.8516,0.99939,0.000659176,0.000659176,0.000659176
2,64.3349,1.91809,2.07091,1.78339,0.40339,0.36486,0.33416,0.15023,0.8175,97.6734,0.80292,0.00131272,0.00131272,0.00131272
3,96.3196,1.95371,1.98852,1.75728,0.32443,0.13514,0.11555,0.03984,1.06005,31.6513,0.954,0.00195306,0.00195306,0.00195306
4,127.327,1.92694,1.9768,1.71478,0.35601,0.31757,0.28676,0.13082,0.81311,38.8113,0.75405,0.0019406,0.0019406,0.0019406
5,158.833,1.8723,1.89146,1.64924,0.37706,0.38851,0.33705,0.14749,0.83694,21.134,0.73428,0.0019208,0.0019208,0.0019208
6,189.925,1.86631,1.85943,1.6734,0.56657,0.58108,0.6055,0.28163,0.75341,9.17212,0.68505,0.001901,0.001901,0.001901
7,221.242,1.83863,1.72841,1.63785,0.49521,0.4527,0.4174,0.1872,0.81072,9.68008,0.72444,0.0018812,0.0018812,0.0018812
8,252.52,1.83065,1.7544,1.5925,0.57146,0.56313,0.58205,0.26787,0.7599,12.3323,0.68083,0.0018614,0.0018614,0.0018614
9,283.853,1.78025,1.69166,1.5865,0.63959,0.50338,0.56317,0.24573,0.77857,18.7451,0.6988,0.0018416,0.0018416,0.0018416
10,314.861,1.79961,1.69973,1.57446,0.67685,0.44595,0.56909,0.25531,0.77491,2.45986,0.70338,0.0018218,0.0018218,0.0018218
11,346.143,1.8045,1.66681,1.55863,0.58151,0.58679,0.61226,0.2813,0.74272,2.4505,0.65646,0.001802,0.001802,0.001802
12,377.812,1.76255,1.59439,1.54189,0.66018,0.61486,0.66349,0.30311,0.73841,4.24432,0.68243,0.0017822,0.0017822,0.0017822
13,409.724,1.81055,1.63983,1.58231,0.5811,0.58784,0.57354,0.265,0.73484,147.729,0.66968,0.0017624,0.0017624,0.0017624
14,440.696,1.76198,1.62437,1.56104,0.60424,0.51014,0.54239,0.23299,0.82328,1.14565,0.72145,0.0017426,0.0017426,0.0017426
15,472.301,1.77004,1.64433,1.56629,0.61419,0.61848,0.61581,0.28121,0.75681,6.33057,0.68917,0.0017228,0.0017228,0.0017228
16,503.236,1.73672,1.57523,1.54433,0.55883,0.57345,0.59995,0.28123,0.7451,5.51858,0.67265,0.001703,0.001703,0.001703
17,534.458,1.75318,1.58455,1.56415,0.61301,0.52981,0.58587,0.27087,0.76184,0.82173,0.67966,0.0016832,0.0016832,0.0016832
18,565.696,1.75225,1.56271,1.5445,0.66364,0.59989,0.65798,0.31318,0.71848,10.3823,0.65346,0.0016634,0.0016634,0.0016634
19,597.011,1.72761,1.51977,1.51473,0.64633,0.69148,0.71349,0.33074,0.72545,3.16758,0.65175,0.0016436,0.0016436,0.0016436
20,628.294,1.71372,1.51535,1.52854,0.65047,0.63851,0.67166,0.32392,0.73621,1.58206,0.6583,0.0016238,0.0016238,0.0016238
21,659.572,1.70755,1.55265,1.49704,0.66495,0.62838,0.67737,0.32866,0.70113,2.54738,0.63617,0.001604,0.001604,0.001604
22,690.947,1.69809,1.46055,1.51868,0.64782,0.62144,0.6337,0.29422,0.7507,5.44425,0.66404,0.0015842,0.0015842,0.0015842
23,722.035,1.67344,1.48001,1.4848,0.71857,0.625,0.69149,0.33127,0.71339,1.68714,0.65001,0.0015644,0.0015644,0.0015644
24,753.039,1.70004,1.46802,1.51664,0.75311,0.60473,0.69159,0.32008,0.73962,1.02525,0.65028,0.0015446,0.0015446,0.0015446
25,784.836,1.64263,1.46402,1.49171,0.68609,0.66892,0.71033,0.34367,0.717,4.2036,0.65914,0.0015248,0.0015248,0.0015248
26,816.163,1.65836,1.43211,1.49036,0.68228,0.56081,0.64763,0.31601,0.7226,1.07125,0.65106,0.001505,0.001505,0.001505
27,847.416,1.61082,1.40052,1.46064,0.66295,0.66451,0.67259,0.32864,0.71078,6.04397,0.64071,0.0014852,0.0014852,0.0014852
28,878.679,1.63874,1.41222,1.45845,0.70762,0.6214,0.69166,0.33265,0.72492,1.12481,0.66451,0.0014654,0.0014654,0.0014654
29,909.569,1.62076,1.39164,1.47829,0.58747,0.52365,0.56679,0.27969,0.72765,0.80384,0.66694,0.0014456,0.0014456,0.0014456
30,941.18,1.63394,1.40048,1.45574,0.68075,0.68919,0.70477,0.34332,0.70011,2.27652,0.63396,0.0014258,0.0014258,0.0014258
31,972.549,1.61406,1.39806,1.4689,0.70209,0.58108,0.64987,0.33135,0.70427,17.3283,0.6418,0.001406,0.001406,0.001406
32,1003.39,1.60605,1.36569,1.46842,0.60884,0.62576,0.64518,0.32762,0.72066,0.94736,0.64692,0.0013862,0.0013862,0.0013862
33,1034.98,1.62555,1.36368,1.4642,0.62172,0.62189,0.64304,0.31178,0.71642,3.94013,0.66378,0.0013664,0.0013664,0.0013664
34,1066.33,1.58397,1.34485,1.4297,0.6419,0.49324,0.57562,0.29587,0.68941,0.82984,0.626,0.0013466,0.0013466,0.0013466
35,1097.65,1.56846,1.32043,1.41342,0.65469,0.68243,0.69635,0.3542,0.69954,3.30489,0.64411,0.0013268,0.0013268,0.0013268
36,1129.33,1.62052,1.34654,1.44649,0.69214,0.68358,0.70879,0.3627,0.67377,2.18534,0.61,0.001307,0.001307,0.001307
37,1160.96,1.59637,1.32497,1.43903,0.71319,0.66366,0.71606,0.37423,0.68623,3.70069,0.63948,0.0012872,0.0012872,0.0012872
38,1192.33,1.56127,1.31654,1.43093,0.61095,0.54392,0.57559,0.28721,0.72853,1.24934,0.68149,0.0012674,0.0012674,0.0012674
39,1224.02,1.58345,1.30025,1.42773,0.68351,0.67124,0.68001,0.34456,0.69672,2.00943,0.63254,0.0012476,0.0012476,0.0012476
40,1255.28,1.58204,1.32648,1.42298,0.71852,0.66554,0.72581,0.38143,0.67729,2.18679,0.61481,0.0012278,0.0012278,0.0012278
41,1286.46,1.60435,1.3026,1.43992,0.65705,0.62162,0.65873,0.29888,0.72886,1.80847,0.65531,0.001208,0.001208,0.001208
42,1317.8,1.53271,1.23914,1.41214,0.72235,0.59768,0.66375,0.34245,0.7031,0.89796,0.62684,0.0011882,0.0011882,0.0011882
43,1348.7,1.56369,1.31146,1.41695,0.738,0.66554,0.73191,0.35899,0.69322,0.71398,0.63442,0.0011684,0.0011684,0.0011684
44,1380.17,1.52372,1.26285,1.39332,0.701,0.67905,0.7235,0.33883,0.72599,2.44113,0.65036,0.0011486,0.0011486,0.0011486
45,1411.65,1.51749,1.24808,1.40024,0.70507,0.65878,0.68942,0.3457,0.70282,1.77406,0.6397,0.0011288,0.0011288,0.0011288
46,1443.06,1.53261,1.248,1.4161,0.69375,0.66216,0.70687,0.37122,0.67261,0.93761,0.62148,0.001109,0.001109,0.001109
47,1474.49,1.49426,1.24708,1.39742,0.66142,0.75,0.76383,0.41588,0.64353,1.34487,0.60441,0.0010892,0.0010892,0.0010892
48,1506.14,1.51137,1.27317,1.40559,0.69542,0.64189,0.67964,0.3505,0.67175,0.86093,0.61722,0.0010694,0.0010694,0.0010694
49,1537.35,1.52451,1.21112,1.40997,0.73208,0.69257,0.76957,0.38731,0.69736,0.79424,0.64223,0.0010496,0.0010496,0.0010496
50,1568.53,1.5218,1.26851,1.3941,0.78313,0.66892,0.77816,0.41372,0.65612,1.1376,0.60873,0.0010298,0.0010298,0.0010298
51,1599.94,1.47983,1.20184,1.36267,0.76701,0.69257,0.73197,0.37216,0.68414,0.75372,0.63143,0.00101,0.00101,0.00101
52,1631.14,1.49338,1.19984,1.38043,0.72721,0.63851,0.72593,0.38544,0.67112,1.09482,0.61655,0.0009902,0.0009902,0.0009902
53,1662.26,1.47352,1.1562,1.3645,0.72189,0.66646,0.72536,0.38379,0.68671,0.89107,0.62708,0.0009704,0.0009704,0.0009704
54,1693.35,1.4898,1.16279,1.38317,0.69046,0.66216,0.71212,0.37642,0.68928,1.30833,0.63396,0.0009506,0.0009506,0.0009506
55,1724.64,1.50021,1.18829,1.38515,0.74537,0.67568,0.74903,0.39369,0.67518,0.56757,0.62337,0.0009308,0.0009308,0.0009308
56,1755.55,1.5028,1.14361,1.38427,0.68582,0.63421,0.6739,0.35697,0.69284,0.80285,0.63386,0.000911,0.000911,0.000911
57,1786.95,1.46827,1.17329,1.35847,0.75283,0.67914,0.75499,0.4016,0.66027,1.02411,0.61129,0.0008912,0.0008912,0.0008912
58,1818.28,1.46493,1.14843,1.36519,0.7173,0.67718,0.7037,0.36223,0.67503,0.75781,0.62677,0.0008714,0.0008714,0.0008714
59,1849.6,1.45261,1.14392,1.35461,0.6723,0.71959,0.74235,0.40775,0.64672,0.54727,0.60471,0.0008516,0.0008516,0.0008516
60,1881.24,1.45396,1.1306,1.35648,0.68162,0.75676,0.74591,0.38885,0.66298,0.96389,0.62418,0.0008318,0.0008318,0.0008318
61,1912.54,1.45177,1.11264,1.36544,0.75157,0.71959,0.78616,0.40387,0.66954,0.97794,0.62317,0.000812,0.000812,0.000812
62,1943.92,1.44642,1.13047,1.35012,0.72516,0.69257,0.74095,0.39626,0.65919,1.75747,0.61582,0.0007922,0.0007922,0.0007922
63,1975.18,1.43153,1.08282,1.34048,0.67039,0.73649,0.75907,0.41323,0.65022,0.73416,0.60725,0.0007724,0.0007724,0.0007724
64,2006.27,1.43621,1.1373,1.36074,0.76722,0.68243,0.75882,0.4053,0.65976,0.5478,0.6137,0.0007526,0.0007526,0.0007526
65,2037.52,1.43732,1.09324,1.34036,0.68969,0.6983,0.72759,0.39622,0.66489,0.97306,0.62076,0.0007328,0.0007328,0.0007328
66,2068.71,1.42256,1.08135,1.34544,0.71847,0.7156,0.72143,0.38486,0.66437,0.63923,0.62017,0.000713,0.000713,0.000713
67,2100.1,1.39621,1.04522,1.32661,0.74876,0.70946,0.73313,0.39291,0.66349,0.65784,0.61053,0.0006932,0.0006932,0.0006932
68,2131.01,1.40157,1.0701,1.3276,0.67531,0.70608,0.71329,0.36731,0.69652,0.67619,0.65549,0.0006734,0.0006734,0.0006734
69,2161.9,1.41004,1.06044,1.33921,0.6679,0.74324,0.74953,0.41082,0.66954,0.54699,0.62038,0.0006536,0.0006536,0.0006536
70,2193.32,1.37994,1.01716,1.30348,0.71069,0.7303,0.74394,0.40246,0.65065,3.23883,0.6103,0.0006338,0.0006338,0.0006338
71,2224.42,1.37906,1.01549,1.31376,0.707,0.72297,0.76141,0.41835,0.65183,0.55244,0.60803,0.000614,0.000614,0.000614
72,2255.66,1.39399,1.04438,1.31813,0.69478,0.66904,0.70549,0.35943,0.69215,0.70607,0.64127,0.0005942,0.0005942,0.0005942
73,2286.85,1.40359,1.04059,1.33589,0.77736,0.71954,0.76403,0.40473,0.66658,0.58764,0.62155,0.0005744,0.0005744,0.0005744
74,2317.8,1.365,1.00183,1.29336,0.68812,0.76014,0.73623,0.39217,0.66,0.9154,0.61984,0.0005546,0.0005546,0.0005546
75,2348.96,1.35683,0.99405,1.30065,0.71525,0.71283,0.71838,0.3759,0.68262,0.86533,0.63652,0.0005348,0.0005348,0.0005348
76,2380.03,1.36231,1.00169,1.29409,0.7692,0.73187,0.78424,0.42359,0.66007,0.58742,0.61862,0.000515,0.000515,0.000515
77,2411.77,1.32703,0.97357,1.28497,0.7495,0.68581,0.72951,0.39539,0.67318,0.58028,0.63663,0.0004952,0.0004952,0.0004952
78,2443.08,1.32257,0.9579,1.28009,0.70444,0.67905,0.72162,0.3918,0.66229,0.55317,0.62345,0.0004754,0.0004754,0.0004754
79,2474.6,1.32703,0.94916,1.28311,0.71566,0.7027,0.73825,0.40532,0.65507,0.62313,0.6142,0.0004556,0.0004556,0.0004556
80,2505.69,1.31236,0.95386,1.26822,0.73465,0.67344,0.73139,0.38237,0.68002,0.80372,0.63567,0.0004358,0.0004358,0.0004358
81,2536.69,1.30941,0.94907,1.28401,0.72454,0.72635,0.76374,0.4088,0.66006,0.54363,0.618,0.000416,0.000416,0.000416
82,2567.95,1.32349,0.9355,1.26445,0.74169,0.72635,0.7603,0.40957,0.65673,0.59792,0.6215,0.0003962,0.0003962,0.0003962
83,2599.22,1.30505,0.93248,1.27541,0.77457,0.67905,0.75088,0.40517,0.65473,0.79455,0.61309,0.0003764,0.0003764,0.0003764
84,2630.18,1.30804,0.94445,1.28734,0.76828,0.69257,0.76671,0.42564,0.65111,0.52132,0.61479,0.0003566,0.0003566,0.0003566
85,2661.47,1.27392,0.90368,1.26603,0.69187,0.73986,0.7328,0.38395,0.67258,0.69429,0.63817,0.0003368,0.0003368,0.0003368
86,2692.58,1.26514,0.91348,1.25761,0.71509,0.72923,0.74775,0.41074,0.65201,0.6364,0.61788,0.000317,0.000317,0.000317
87,2723.55,1.27412,0.90291,1.2612,0.76692,0.7027,0.7477,0.39612,0.67756,0.58179,0.63892,0.0002972,0.0002972,0.0002972
88,2754.59,1.25817,0.8794,1.24617,0.73781,0.69932,0.74641,0.41027,0.65436,0.57396,0.62846,0.0002774,0.0002774,0.0002774
89,2786.12,1.27695,0.89204,1.26316,0.72022,0.69932,0.72628,0.39636,0.66087,0.63998,0.63514,0.0002576,0.0002576,0.0002576
90,2817.07,1.25952,0.90161,1.24864,0.77725,0.71959,0.76058,0.40821,0.67164,0.52594,0.63329,0.0002378,0.0002378,0.0002378
91,2850.61,1.26643,0.88687,1.25924,0.71004,0.74454,0.73986,0.40235,0.66636,0.90137,0.63574,0.000218,0.000218,0.000218
92,2881.43,1.20048,0.81345,1.233,0.73103,0.73649,0.73696,0.4011,0.66092,0.55333,0.63529,0.0001982,0.0001982,0.0001982
93,2912.59,1.20128,0.79803,1.23129,0.70228,0.76689,0.74248,0.4058,0.65401,0.64335,0.62667,0.0001784,0.0001784,0.0001784
94,2943.46,1.17365,0.79362,1.20311,0.74192,0.73311,0.74971,0.40094,0.66596,0.54416,0.63513,0.0001586,0.0001586,0.0001586
95,2974.36,1.20009,0.7972,1.22122,0.75352,0.6723,0.73468,0.40323,0.66729,0.50956,0.63778,0.0001388,0.0001388,0.0001388
96,3005.75,1.14556,0.76254,1.20042,0.71759,0.69534,0.7408,0.40669,0.66485,0.50499,0.63455,0.000119,0.000119,0.000119
97,3037.9,1.15238,0.75706,1.19141,0.71454,0.74324,0.74095,0.40977,0.6647,0.56727,0.6351,9.92e-05,9.92e-05,9.92e-05
98,3069.58,1.13181,0.74654,1.1871,0.69683,0.77652,0.76669,0.41561,0.66675,0.49512,0.64004,7.94e-05,7.94e-05,7.94e-05
99,3100.65,1.15229,0.74488,1.1929,0.78873,0.69257,0.75368,0.4075,0.66641,0.48737,0.64187,5.96e-05,5.96e-05,5.96e-05
100,3132.16,1.13396,0.74108,1.18686,0.7592,0.69257,0.73917,0.39916,0.66433,0.50015,0.64146,3.98e-05,3.98e-05,3.98e-05
