epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7354,1.7075,2.30516,1.67711,0.53876,0.66939,0.65226,0.33742,1.60053,4.33966,1.50773,0.000647059,0.000647059,0.000647059
2,26.3801,1.71829,1.61307,1.63154,0.37296,0.52245,0.34525,0.13255,2.02676,10.0554,2.09013,0.00130072,0.00130072,0.00130072
3,38.9819,1.80292,1.58275,1.67086,0.42233,0.45358,0.37913,0.16281,2.11233,4.9255,2.00064,0.00194118,0.00194118,0.00194118
4,51.6419,1.74868,1.56116,1.59938,0.48131,0.73061,0.60765,0.2798,1.76404,8.08711,1.90097,0.0019406,0.0019406,0.0019406
5,64.179,1.71338,1.48593,1.58482,0.5153,0.69388,0.63575,0.29908,1.71559,6.99533,1.74377,0.0019208,0.0019208,0.0019208
6,76.723,1.70953,1.44897,1.5856,0.56254,0.65083,0.6192,0.29138,1.64801,5.81065,1.6063,0.001901,0.001901,0.001901
7,89.2504,1.71914,1.45475,1.57073,0.52512,0.60028,0.57088,0.24656,1.77873,3.85838,1.66491,0.0018812,0.0018812,0.0018812
8,101.911,1.66907,1.45083,1.56363,0.59994,0.53061,0.53492,0.23909,1.83781,1.99757,1.65947,0.0018614,0.0018614,0.0018614
9,114.446,1.63704,1.35468,1.53043,0.75956,0.56732,0.68732,0.33215,1.82389,1.48315,1.63491,0.0018416,0.0018416,0.0018416
10,127.008,1.65382,1.36882,1.55716,0.6973,0.7428,0.76703,0.38878,1.68757,1.6046,1.5302,0.0018218,0.0018218,0.0018218
11,139.78,1.64136,1.36003,1.52973,0.79573,0.71837,0.8054,0.42918,1.62121,1.3436,1.49507,0.001802,0.001802,0.001802
12,152.797,1.63736,1.34157,1.53379,0.73224,0.71437,0.7681,0.3922,1.58657,1.71869,1.50565,0.0017822,0.0017822,0.0017822
13,165.333,1.59521,1.28523,1.4884,0.76802,0.73061,0.80417,0.42411,1.57593,1.51484,1.45871,0.0017624,0.0017624,0.0017624
14,178.061,1.62158,1.25134,1.51505,0.76454,0.75918,0.80428,0.3749,1.70812,1.33182,1.5708,0.0017426,0.0017426,0.0017426
15,190.651,1.60521,1.27756,1.49365,0.70206,0.63478,0.70405,0.3699,1.66596,1.5653,1.54919,0.0017228,0.0017228,0.0017228
16,203.279,1.62134,1.30933,1.50742,0.70606,0.62449,0.69491,0.37943,1.68352,1.48129,1.52257,0.001703,0.001703,0.001703
17,215.884,1.55835,1.23685,1.46801,0.61329,0.59592,0.61859,0.29299,1.91595,1.6679,1.67519,0.0016832,0.0016832,0.0016832
18,228.527,1.54659,1.23635,1.45332,0.79545,0.63673,0.74157,0.37479,1.71695,1.37113,1.52662,0.0016634,0.0016634,0.0016634
19,241.269,1.52965,1.20951,1.45725,0.74711,0.74762,0.82002,0.43582,1.58782,1.39244,1.47754,0.0016436,0.0016436,0.0016436
20,254.301,1.54475,1.27475,1.43593,0.72123,0.72245,0.79766,0.42517,1.59602,1.23793,1.44002,0.0016238,0.0016238,0.0016238
21,266.994,1.54497,1.16992,1.45355,0.79822,0.74273,0.8254,0.40643,1.73283,1.30645,1.54838,0.001604,0.001604,0.001604
22,279.681,1.52203,1.19566,1.43893,0.78887,0.71837,0.8267,0.46435,1.48623,1.11443,1.4255,0.0015842,0.0015842,0.0015842
23,292.596,1.52716,1.15307,1.46575,0.7073,0.73061,0.74814,0.39571,1.63566,1.28388,1.50941,0.0015644,0.0015644,0.0015644
24,305.379,1.50692,1.17193,1.4241,0.7646,0.67755,0.78398,0.44158,1.55634,1.21496,1.49843,0.0015446,0.0015446,0.0015446
25,318.078,1.5379,1.19646,1.43927,0.7411,0.77959,0.8324,0.45248,1.54388,1.13652,1.44878,0.0015248,0.0015248,0.0015248
26,330.803,1.48448,1.14076,1.42246,0.80457,0.72653,0.83461,0.45681,1.56886,1.18407,1.46198,0.001505,0.001505,0.001505
