               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097748,            0.040687,                   0,           0.0025124,             0.46759,           0.0033589,           0.0010338,            0.090315,              0.0294,                   0,            0.070882,           0.0032353,           0.0032353
                   1,            0.086153,            0.040465,                   0,           0.0027363,             0.50926,           0.0031148,          0.00099188,            0.084835,            0.029501,                   0,            0.040817,           0.0065036,           0.0065036
                   2,            0.074918,            0.046791,                   0,           0.0030846,             0.57407,           0.0096805,           0.0028051,            0.081265,            0.030031,                   0,            0.010686,           0.0097059,           0.0097059
                   3,            0.070539,            0.044149,                   0,           0.0044527,              0.8287,            0.083039,            0.021229,            0.079806,            0.026981,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.067722,            0.038413,                   0,             0.20071,             0.24537,             0.17103,            0.049176,            0.069454,            0.023172,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.061907,            0.034451,                   0,             0.18622,             0.43437,             0.18245,            0.059814,            0.056229,            0.029354,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.057931,            0.035055,                   0,             0.37591,             0.33333,              0.2809,            0.088452,            0.059416,            0.027779,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.05421,            0.033293,                   0,             0.35078,             0.50029,             0.33387,             0.11586,            0.051113,            0.030347,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.052339,            0.031741,                   0,             0.58157,             0.67564,             0.61235,             0.20802,            0.046819,            0.021549,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.04869,            0.030452,                   0,             0.63344,             0.69444,             0.70192,             0.31221,            0.040735,            0.027141,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048324,            0.030275,                   0,             0.40206,             0.56481,             0.42744,             0.16039,            0.049497,            0.029496,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.047494,            0.027806,                   0,             0.69595,              0.7963,             0.80792,             0.38177,            0.038182,            0.018898,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046699,            0.027411,                   0,             0.78005,             0.75926,             0.85609,             0.36919,            0.040827,            0.017904,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.046083,            0.028232,                   0,             0.73614,             0.75463,             0.81615,             0.39364,             0.03852,            0.018558,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.043079,            0.026661,                   0,             0.78527,             0.80556,              0.8796,             0.40308,            0.038882,            0.017493,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.043808,            0.027677,                   0,             0.70122,             0.83663,             0.82027,             0.38312,            0.039246,            0.017816,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.041784,            0.027275,                   0,             0.68963,             0.74074,              0.7792,             0.37055,            0.042247,            0.018221,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.04128,            0.026582,                   0,             0.80223,              0.7963,             0.86312,             0.41885,            0.038799,            0.016775,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.040383,             0.02733,                   0,             0.78183,             0.77978,             0.84287,             0.42949,            0.040403,            0.016776,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.04096,            0.026533,                   0,             0.73861,             0.74569,             0.80678,             0.37554,            0.042249,            0.016777,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.040721,            0.024408,                   0,             0.77923,             0.84722,             0.86252,             0.43894,            0.037882,            0.016826,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.038959,            0.025588,                   0,             0.81268,             0.81019,             0.84728,             0.42164,            0.038306,            0.017153,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.039161,            0.026122,                   0,             0.70219,             0.69444,             0.73338,             0.33635,            0.040738,            0.018066,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.038295,            0.026108,                   0,             0.77048,             0.77778,             0.83448,              0.4195,             0.03612,            0.017711,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.03876,            0.025249,                   0,             0.79217,             0.81481,             0.85161,             0.42798,            0.037205,            0.016696,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.039593,            0.025406,                   0,             0.81084,             0.84722,             0.89281,             0.47833,            0.035881,            0.015912,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.037082,            0.025899,                   0,             0.75866,             0.83796,             0.85996,              0.4585,            0.035142,            0.016554,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.036301,            0.024404,                   0,             0.79258,             0.83144,             0.87097,             0.47229,            0.036685,            0.016317,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.036305,            0.024021,                   0,               0.833,             0.73611,             0.84229,             0.42463,            0.040505,            0.016405,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.035789,            0.024253,                   0,             0.82775,                0.75,              0.8405,             0.45838,            0.035755,            0.017004,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.036447,            0.023678,                   0,             0.77633,             0.73919,             0.82442,             0.44243,            0.038287,              0.0167,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.037248,            0.024536,                   0,             0.75026,             0.79276,             0.83215,             0.42111,            0.037723,            0.016986,                   0,             0.00703,             0.00703,             0.00703
                  32,             0.03649,            0.024697,                   0,             0.79886,             0.80903,             0.86515,             0.45517,            0.037038,            0.016711,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.035392,            0.023623,                   0,             0.83674,             0.83796,             0.89422,             0.45865,            0.036088,             0.01681,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.034528,            0.024205,                   0,             0.86586,             0.79167,             0.89562,             0.48437,            0.036194,            0.016467,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.035123,            0.024522,                   0,             0.70685,             0.84259,             0.83743,             0.42275,            0.037252,            0.017039,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.035124,             0.02203,                   0,              0.8889,             0.81481,             0.90845,             0.48314,            0.036765,            0.016269,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.034972,            0.022077,                   0,             0.78815,             0.81019,             0.85036,              0.4521,            0.036601,            0.016623,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.034423,             0.02337,                   0,             0.76876,             0.79167,             0.83517,             0.43741,            0.037544,            0.016986,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.033072,            0.022975,                   0,              0.7957,             0.81139,             0.86272,             0.46333,            0.037781,             0.01657,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.03269,            0.022744,                   0,             0.82013,             0.84722,             0.89858,             0.50254,            0.035377,            0.016093,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.03295,            0.022018,                   0,             0.82329,             0.81481,             0.86769,             0.47014,            0.036598,            0.017367,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.032522,            0.021879,                   0,             0.83635,             0.78704,              0.8857,             0.49589,            0.034592,            0.016637,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.034311,             0.02199,                   0,             0.79294,             0.81481,             0.88185,             0.49682,            0.035496,            0.016243,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.032666,            0.021645,                   0,             0.86784,             0.83333,              0.9058,             0.52224,             0.03436,            0.015706,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.031987,            0.022378,                   0,              0.8697,              0.8343,             0.89821,             0.50566,            0.035081,            0.016002,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.031813,            0.022733,                   0,             0.79322,             0.84259,             0.89319,             0.50347,            0.034104,             0.01624,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.031993,             0.02201,                   0,             0.76644,             0.81481,             0.85682,             0.47846,            0.035428,            0.017023,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.031077,            0.021819,                   0,             0.77399,             0.80093,             0.84798,             0.44606,             0.03728,            0.016603,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.031684,            0.020676,                   0,             0.73164,             0.83304,             0.85116,             0.43182,            0.039614,            0.016972,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.03158,            0.021214,                   0,             0.80696,             0.80556,              0.8639,             0.47626,            0.036617,            0.017212,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.031208,            0.020476,                   0,             0.81075,             0.85285,             0.90218,             0.50308,            0.034747,            0.016274,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.030589,            0.020857,                   0,             0.83602,             0.81481,             0.87309,             0.48365,            0.034741,            0.016331,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.03144,            0.022112,                   0,             0.76562,             0.81944,              0.8714,             0.46326,            0.035868,            0.016998,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.030658,            0.021833,                   0,             0.81552,             0.77769,             0.85785,             0.46429,            0.037627,            0.017009,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.03033,            0.021142,                   0,             0.83154,             0.81481,             0.87215,             0.46895,            0.036867,            0.016789,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.029751,            0.020951,                   0,             0.78257,             0.83796,              0.8649,             0.48593,            0.035761,            0.016604,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.030356,            0.020869,                   0,             0.73358,             0.80556,              0.8345,             0.42586,             0.03779,            0.017253,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.030183,            0.020497,                   0,             0.79863,             0.81944,             0.87276,             0.48162,            0.037367,            0.017014,                   0,            0.004357,            0.004357,            0.004357
                  59,              0.0299,            0.020052,                   0,             0.83743,             0.80556,             0.88194,              0.5039,            0.036026,            0.016569,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.029759,            0.020895,                   0,             0.83325,              0.8287,             0.88627,             0.51315,            0.034949,            0.016517,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02934,            0.020283,                   0,             0.77634,             0.86111,             0.87546,             0.48524,            0.035649,            0.016551,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.029378,            0.020405,                   0,             0.83313,              0.8321,             0.86981,             0.47511,            0.037036,            0.016539,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.028691,            0.019593,                   0,             0.84441,             0.80402,             0.88124,             0.49614,            0.035832,            0.016479,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.029389,            0.019968,                   0,             0.83443,             0.81662,             0.88988,             0.48901,            0.035321,            0.016612,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.028342,            0.019615,                   0,             0.80609,              0.8083,             0.86918,             0.47974,            0.035097,            0.016612,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.028962,            0.020049,                   0,             0.83598,              0.7963,             0.87748,              0.4897,            0.034818,             0.01609,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.028878,            0.020241,                   0,             0.82561,             0.73611,             0.85212,             0.48642,            0.035572,            0.017928,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.029021,            0.019489,                   0,             0.78667,             0.81947,             0.87748,             0.51044,            0.034628,            0.016044,                   0,            0.003367,            0.003367,            0.003367
